10;81;1
7;52;4
3;34;2
1;12;1
4;61;1
7;91;1
1;15;1
10;30;4
8;6;1
7;74;2
9;47;0
10;93;3
6;87;3
10;20;4
7;2;1
1;24;5
5;15;0
7;28;2
2;54;0
2;65;5
1;73;3
5;17;1
9;10;4
10;12;5
10;39;5
5;47;3
6;85;1
3;74;4
10;12;3
6;27;3
4;59;0
7;42;3
2;52;4
4;59;5
3;66;4
1;77;4
9;2;3
7;32;2
1;79;0
1;76;4
3;53;0
1;71;5
9;53;2
6;92;2
9;5;2
6;45;5
1;24;4
3;42;2
7;80;2
6;25;2
2;23;1
5;29;1
4;76;4
1;24;0
8;17;5
9;39;3
1;62;3
8;52;4
9;68;2
10;68;5
3;68;4
4;6;5
1;53;4
8;60;3
6;8;1
5;70;5
10;35;4
9;37;3
5;20;3
7;82;3
8;75;4
8;3;2
8;30;4
5;33;5
5;44;4
5;16;5
6;30;2
1;53;1
10;74;1
6;61;1
7;59;4
6;25;1
9;77;4
4;28;5
8;74;2
7;46;3
8;84;5
7;31;1
4;60;5
5;35;2
10;9;0
8;40;0
3;24;3
2;26;4
9;81;0
1;43;2
2;8;1
8;6;2
7;70;0
9;41;3
5;78;0
5;96;3
1;33;1
2;20;3
7;16;0
9;97;3
9;95;5
2;53;4
2;38;5
7;92;4
1;44;0
6;58;4
1;97;2
2;35;0
3;85;1
10;48;4
2;21;1
8;57;5
8;32;3
7;80;3
2;97;5
7;58;1
5;76;2
6;39;0
4;97;5
8;10;0
2;40;3
2;53;2
8;57;0
5;84;1
2;69;4
1;51;4
3;35;1
6;85;0
3;75;3
1;4;3
5;87;2
8;73;4
6;80;4
8;70;0
3;77;0
9;41;5
4;53;3
8;53;1
4;72;3
3;56;4
10;34;2
10;26;2
3;7;3
6;72;5
10;63;2
4;8;3
1;59;4
7;58;0
6;21;2
10;57;0
8;39;5
6;48;2
6;63;1
9;38;5
9;2;0
1;58;0
10;33;0
3;10;2
10;27;4
8;40;4
10;45;5
1;11;1
5;78;0
1;44;2
10;8;4
2;32;2
3;57;0
2;4;0
8;17;0
8;4;2
7;31;5
6;26;2
1;38;3
3;80;3
6;92;4
1;78;0
3;67;5
10;25;4
2;86;1
4;64;0
2;45;2
3;15;2
6;68;3
3;1;3
10;89;0
6;45;3
1;24;5
1;39;2
3;76;5
5;84;0
4;62;4
7;88;1
5;4;0
9;8;0
1;79;4
6;24;2
10;24;0
9;45;2
5;82;3
8;44;2
8;92;3
10;57;3
5;79;1
4;93;3
5;57;2
2;80;5
7;34;2
3;27;0
1;23;2
3;33;3
3;61;4
6;83;1
1;90;4
1;2;4
8;24;4
1;19;1
4;74;1
6;41;1
5;47;0
6;92;0
3;43;0
7;88;3
5;74;0
5;33;1
3;82;4
5;76;4
8;36;1
1;73;0
9;63;2
1;49;5
1;87;5
2;71;2
9;76;1
10;50;4
9;89;3
5;83;4
7;8;1
5;72;5
6;57;2
6;77;0
5;57;0
8;32;2
4;6;0
6;34;4
9;6;1
9;77;3
4;62;3
3;84;3
10;38;2
9;94;5
4;5;0
4;69;1
2;26;0
7;4;5
9;58;3
7;81;1
1;10;3
8;96;3
4;17;1
10;78;5
1;33;2
5;73;5
4;64;4
7;56;1
3;46;4
3;2;4
8;50;2
7;11;2
9;52;2
8;84;2
6;1;3
6;91;4
2;73;2
5;19;2
2;18;5
8;17;1
10;91;1
2;11;1
3;40;2
1;9;0
2;70;1
8;96;2
7;34;5
9;20;5
6;95;4
6;20;5
6;7;1
4;76;0
10;7;0
8;40;5
5;95;2
4;4;3
4;39;1
4;84;5
10;19;4
7;30;5
1;2;3
2;7;2
1;45;2
10;57;5
8;71;3
1;13;0
